"Thread-1", "270", "RWP_MessagePassing.java:115", "Field Write", " context=RWController:1, state=""request_read"""
"Thread-1", "271", "RWP_MessagePassing.java:116", "Line Step", " file=RWP_MessagePassing.java, line=116"
"Thread-1", "272", "RWP_MessagePassing.java:118", "Line Step", " file=RWP_MessagePassing.java, line=118"
"Thread-1", "273", "RWP_MessagePassing.java:118", "Field Write", " context=RWController:1, r=1"
"Thread-1", "274", "RWP_MessagePassing.java:119", "Line Step", " file=RWP_MessagePassing.java, line=119"
"Thread-1", "275", "RWP_MessagePassing.java:119", "Field Read", " context=RWController:1, r"
"Thread-1", "276", "RWP_MessagePassing.java:121", "Line Step", " file=RWP_MessagePassing.java, line=121"
"Thread-2", "277", "RWP_MessagePassing.java:78", "Line Step", " file=RWP_MessagePassing.java, line=78"
"Thread-3", "278", "RWP_MessagePassing.java:44", "Line Step", " file=RWP_MessagePassing.java, line=44"
"Thread-2", "279", "RWP_MessagePassing.java:78", "Field Write", " context=Database:1, state=""read"""
"Thread-2", "280", "RWP_MessagePassing.java:79", "Line Step", " file=RWP_MessagePassing.java, line=79"
"Thread-2", "281", "RWP_MessagePassing.java:77", "Line Step", " file=RWP_MessagePassing.java, line=77"
"Thread-2", "282", "RWP_MessagePassing.java:77", "Field Read", " context=Database:1, data"
"Thread-3", "283", "RWP_MessagePassing.java:45", "Line Step", " file=RWP_MessagePassing.java, line=45"
"Thread-0", "284", "SYSTEM", "Method Returned", " "
"Thread-0", "285", "SYSTEM", "Method Call", " caller=LScheduler/Scheduler;.schedule(), target=RWController$G1:1#test:2"
"Thread-0", "286", "RWP_MessagePassing.java:104", "Method Entered", " "
"Thread-0", "287", "RWP_MessagePassing.java:104", "Variable Write", " context=RWController$G1:1#test:2, o=null"
"Thread-0", "288", "RWP_MessagePassing.java:105", "Line Step", " file=RWP_MessagePassing.java, line=105"
"Thread-0", "289", "RWP_MessagePassing.java:105", "Method Call", " caller=RWController$G1:1#test:2, target=RWController:1#ww:2"
"Thread-0", "290", "RWP_MessagePassing.java:148", "Method Entered", " "
"Thread-0", "291", "RWP_MessagePassing.java:149", "Line Step", " file=RWP_MessagePassing.java, line=149"
"Thread-0", "292", "RWP_MessagePassing.java:149", "Variable Write", " context=RWController:1#ww:2, t=0"
"Thread-0", "293", "RWP_MessagePassing.java:150", "Line Step", " file=RWP_MessagePassing.java, line=150"
"Thread-0", "294", "RWP_MessagePassing.java:150", "Field Read", " context=RWController:1, ww"
"Thread-0", "295", "RWP_MessagePassing.java:152", "Line Step", " file=RWP_MessagePassing.java, line=152"
"Thread-0", "296", "RWP_MessagePassing.java:152", "Field Read", " context=RWController:1, ww"
